id,category_name,status,typeUser,image,orderItem,typeStatusAcaount,curencyType,balence,created_at,updated_at,deleted_at
1,حسابات عامة,1,0,8,1,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
2,حسابات ب العدد,0,0,4,4,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
3,حسابات الموردين,1,0,3,3,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
4,حسابات المصروفات,0,0,5,5,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
5,حسابات الدخل,0,0,6,6,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
6,حسابات العملاء,1,0,1,2,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
7,حسابات الديون,0,0,7,7,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
8,الحركة اليومية,0,0,8,8,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00
